Summary,Type,Description
AS-02: Implement Source Code Management,story,"*Narrative*

Technology Product Owner: Source code is stored and protected to ensure that data therein is managed as per the Organisation's requirements

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-02-TC02	Program/application/module listings are held in a secure environment
Primary: AS-02-TC03	Processes for code check-in, check-out and code merge are defined
Primary: AS-02-TC04	Organisation owned source code has been reviewed and accepted by a peer (not the same person as the author of the source code) according to coding standards, before source code is merged
Primary: AS-02-TC04	Changes to production code must be associated with a bug report or feature/change request and be managed through the version-control and change control systems before the new code is promulgated to Production
Primary: AS-02-TC04	Source code on portable systems such as laptops must be protected with whole disk encryption. 
Primary: AS-02-TC01	Source code is stored in an access and version controlled system e.g. GIT
"
AS-05: Implement Secure Error Handling,story,"*Narrative*

Technology Product Owner: Error messages are configured not to contain sensitive information, including system details,  account information or cryptographic information.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-05-TC01	Do not disclose sensitive information in error responses, including system details, session identifiers or account information
Primary: AS-05-TC02	Use error handlers that do not display debugging or stack trace information
Primary: AS-05-TC03	Implement generic error messages and use custom error pages 
Primary: AS-05-TC04	The application should handle errors and not rely on the server configuration
Primary: AS-05-TC05	Properly free allocated memory when error conditions occur
Primary: AS-05-TC06	Error handling logic associated with security controls should deny access by default
"
LM-01: Event Log Requirements,story,"*Narrative*

Technology Product Owner: Security event logs are created in line with the organisation's Logging and Monitoring standard. Security events are logged to identify anomalies or suspicious activity or potential security incidents. Logging requirement are determined in conjunction with the Office of the Chief Security Officer.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: LM-01-TC01	The following security events are logged and reviewed to identify anomalies or suspicious activity or potential security incidents
- Changes to the configuration of an IT security system or service
- Changes to the secure configuration of an IT system or service
- Failure of malicious countermeasure functionality
- Cessation of operation of an IT security system or service
- Creation, modification, or deletion of operating system log files
Primary : LM-01-TC02	All event logging meets the following minimum requirements:
i. All security events (as defined in the as prescribed in the Cyber Threat Management Standard) are logged, and, where the event relates to a particular account, is traceable to a unique individual.
ii. The system transmits the log to the applicable log management system, and not delete the local copy of the log until receipt has been confirmed.
iii. Log entries, once created, must be read only.  Privileged accounts must not be able to modify logs of their own actions.
iv. Access to modify or delete log files and data must be subject to a dual control process.
v. Log files and data are protected from unauthorised modification and deletion in transit and in storage.
vi. The reviewer doesn't hold a privileged account on the system in question.

Primary: LM-01-TC03	The ability to change the standard, centralised and accurate source of UTC time used by logging services is restricted 
Primary : LM-01-TC05	The following items captured in event logs are removed, masked, sanitised, hashed or encrypted depending on usage requirements:
- application source code 
- session identification values
- access tokens
- sensitive personal data and forms of personally identifiable information (PII)
- authentication passwords
- database connection strings
- encryption keys and other master secrets
- bank account or payment card holder data
- data of a higher security classification than the logging system is allowed to store
- commercially-sensitive information
- information which a user has not consented to, or has opted out of, being collected.

Primary: LM-01-TC02	Requirements for security event logging, monitoring (including real-time monitoring), reviewing, alerting, retention and archiving is determined in conjunction with the Application Owner / System Owner. Security Monitoring and alerting is conducted 24 x 7 x 365
Primary: LM-01-TC03	Staff (employees and contractors) activity on HVTs, MVEs, and CRITINF is constantly monitored subject to any legal and regulatory restrictions
"
AS-06: Protection of Information Involved in Application Service Transactions ,story,"*Narrative*

Technology Product Owner: Information used in application service transactions is protected to prevent incomplete transmission, miss-routing, unauthorised message alteration, unauthorised disclosure and unauthorised message duplication or replay.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-06-TC01	The storage of the transaction details is located outside of any public accessible environment, e.g. on a storage platform existing on the organisational Intranet, and not retained and exposed on a storage medium directly accessible from the Internet. 
Primary: AS-06-TC02	Logical access to applications is compliant to the applicable access control requirements
"
AS-07: Application Standard Build ,story,"*Narrative*

Technology Product Owner: Applications are deployed using a standard build configuration

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-07-TC01	The application configuration build standard is defined and tested to comply with all applicable requirements.
Primary: AS-07-TC02	All default accounts are disabled or passwords changed to strong passwords/phrases as prescribed in the Logical Access Management Standard
Primary: AS-07-TC03	Ensure servers, frameworks and system components are running the latest approved version
Primary: AS-07-TC04	Ensure servers, frameworks and system components have all patches issued for the version in use
Primary: AS-07-TC05	Web-servers must be configured to turn off dir­ectory listings 
Primary: AS-07-TC06	Restrict the web-server, process and service accounts to the least privileges possible
Primary: AS-07-TC07	When exceptions occur, fail securely
Primary: AS-07-TC08	Remove all unnecessary functionality and files
Primary: AS-07-TC09	Remove test code or any functionality not intended for production, prior to deployment
Primary: AS-07-TC10	For web applications, prevent disclosure of your directory structure in the robots.txt file by placing directories not intended for public indexing into an isolated parent directory. Then Disallow"" that entire parent directory in the robots.txt file rather than disallowing each individual directory""
Primary: AS-07-TC11	For web applications, define which HTTP methods Get or Post, the application will support and whether it will be handled differently in different pages in the application
Primary: AS-07-TC12	For web applications, disable unnecessary HTTP methods, such as WebDAV extensions. If an extended HTTP method that supports file handling is required, utilize a GIS approved authentication mechanism
Primary: AS-07-TC13	For web applications, if the webserver handles both HTTP 1.0 and 1.1, ensure that both are configured in a similar manner or insure that you understand any difference that may exist (e.g. handling of extended HTTP methods) 
Primary: AS-07-TC14	For web applications, remove unnecessary information from HTTP response headers related to the OS, web-server version and application frameworks 
Primary: AS-07-TC15	The security configuration store for the application should be exportable in a human readable form to support auditing
"
PM-02: Project Approval,story,"*Narrative*

Product Owner: Projects are approved at the appropriate level with relevant information to support these decisions to ensure support by relevant sponsors and alignment with the Organisation's objectives

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : PM-02-TC01	Project approval is granted at the relevant Change Council based on the total cost of the project and not only the budget for the financial year (to prevent salami slicing).The work breakdown structure on SAP is congruent with the project scope elements 
"
AS-08: Implement Secure File Management ,story,"*Narrative*

Technology Product Owner: A file management system to govern the security of files such as data files, configuration and log files has been implemented


*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-08-TC05	Access to configuration files, data files and log files should be restricted to the applications that require access and users of the application should not have direct access to these files
Primary: AS-08-TC06	Configuration files and log files should not contain passwords and other sensitive information
Primary: AS-08-TC07	Do not pass user supplied data directly to any dynamically included function 
Primary: AS-08-TC08	Require authentication before allowing a file to be uploaded
Primary: AS-08-TC09	Turn off execution privileges on file upload directories
Primary: AS-08-TC10	When referencing existing files, use a white list of allowed file names and types. Validate the value of the parameter being passed and if it does not match one of the expected values, either reject it or use a hard coded default file value for the content instead
Primary: AS-08-TC11	Do not pass user supplied data into a dynamic redirect. If this must be allowed, then the redirect should accept only validated, relative path URLs or URIs
Primary: AS-08-TC12	Never send the absolute system file path to the client
Primary: AS-08-TC13	Ensure application files and resources are read-only and are aligned to defined trust models
Primary: AS-08-TC14	Scan external (i.e. from external to the organisation) user uploaded files for viruses and malware 
Secondary: AS-08-TC15	Do not pass directory or file paths, use index values mapped to pre-defined list of paths
Primary: AS-08-TC01	Limitations are placed on the type of files that can be uploaded such that only those types that are needed for business purposes are permitted
Primary: AS-08-TC02	File headers, and not just file type or extension alone, are checked to ensure uploaded files are the expected type
Primary: AS-08-TC03	Files are not stored in the same location as the application, but instead stored in a separate directory or in a separate data server such as a content server or a database server
Primary: AS-08-TC04	The upload of any files that can be interpreted by the application is prevented  by including file check mechanism during upload
Primary: AS-08-TC16	Secret information is stored encrypted in compliance with the organisation's cryptographic standards
"
PM-03: Project Reporting,story,"*Narrative*

Product Owner: The project provides regular feedback to Steering Committees or Working Committees, on progress, risks, issues, dependencies, scope changes, cost variances etc.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : PM-03-TC01	The project provides regular feedback to Steering Committees or Working Committees, on progress, risks, issues, dependencies, scope changes, cost variances etc.
"
PM-04: Project Methodology,story,"*Narrative*

Product Owner: A formal Organisation's methodology is utilised to ensure that that the Programme is managed in a standard manner and to prevent mismanagement of the overall project

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-04-TC01	All phases of the project (including the Minimum Viable Product and subsequent releases) follow an approved Organisation methodology and adheres to the Organisation's Product Development Lifecycle
Primary: PM-04-TC02	Key stages in the development project lifecycle are approved and appropriately signed off by both the Business and Technology management
"
PM-05: Project Scoping,story,"*Narrative*

Product Owner: The project is adequate scoped to ensure that the project cost and timelines are accurately defined upfront

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : PM-05-TC01	The project or release cost and timelines are based on the entire scope of the project, including dependencies and unknown activities. This is to ensure that the project costing and timelines are accurately defined
"
PM-06: Project Scheduling,story,"*Narrative*

Product Owner: A baselined project plan or release plan exists and progress is reported against the defined deadline dates to prevent missed deadlines and cost over runs 

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-06-TC01	The project schedule includes the entire scope of the project and is kept up to date
Primary: PM-06-TC02	Tasks that are behind schedule, the impact thereof and the corrective actions to be taken are reported to the  Steering Committee or Working Committee. Projects that fall significantly behind schedule and have a red RAG status present corrective actions to the Change Council  
"
PM-07: Project Financial Management ,story,"*Narrative*

Product Owner: The project budget was accurately determined, approved and is being monitored to control the project expenditure

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-07-TC01	The financial forecast to completion is maintained and updated on a monthly basis
Primary: PM-07-TC02	Variances between the budget and forecast to completion is explained to the relevant Steering Committee, including Project Owner and Project Sponsor, as soon as the variance is identified. 
Primary: PM-07-TC03	Requests for additional project funds and associated explanations are approved by the Change Council.
"
PM-08: Project Procurement,story,"*Narrative*

Product Owner: The organisation's procurement and contracts management procedures and delegation of authority matrices are adhered to for the purchasing of goods and services to prevent the misuse of project funds 

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-08-TC01	The organisation's procurement and contracts management procedures and delegation of authority matrices are adhered to for the purchasing of goods and services related to the project. Purchases are not split to prevent approvals at the appropriate levels
Primary: PM-08-TC02	When system development is outsourced, the requisite licensing arrangement, code ownership and intellectual property rights related to the outsourced content has been finalised and agreed on
Primary: PM-08-TC03	When system development is outsourced, the developer has provided evidence of :
1. sufficient testing applied to guard against the absence of both intentional and unintentional malicious content upon delivery
2. sufficient testing applied to guard against the presence of known vulnerabilities
3. security thresholds that were used to establish minimum acceptable levels of security and privacy quality
4. all controls applicable to the product are implemented
Primary : PM-08-TC02	Quality clauses within key contracts allow for penalties, termination of contracts etc. 
"
AS-17: Output Encoding,story,"*Narrative*

Technology Product Owner: Implement output encoding to ensure data is correctly rendered, and does not reveal operational details about the application

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-17-TC01	Conduct all encoding on a trusted system
Primary: AS-17-TC02	Contextually output encode all data returned to the client that originated outside the application's trust boundary. HTML entity encoding is one example, but does not work in all cases
Primary: AS-17-TC03	Encode all characters unless they are known to be safe for the intended interpreter
Primary: AS-17-TC04	Contextually sanitize all output of un-trusted data to queries for SQL, XML, and LDAP

Primary: AS-17-TC05	Sanitize all output of un-trusted data to operating system commands
Secondary: AS-17-TC06	Utilize a standard, tested routine for each type of outbound encoding
"
PM-09: Project Risk and Issue Management ,story,"*Narrative*

Product Owner: Key project dependencies, assumptions, risks and issues are documented and discussed with all key stakeholders, including the Project Owner and Sponsor

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : PM-09-TC01	Key project dependencies, assumptions, risks and issues are documented and discussed with all key stakeholders, including the Project Owner and Sponsor
"
PM-10: Project Change Management,story,"*Narrative*

Product Owner: All project changes are  formally documented, evaluated and approved by the respective stakeholders to ensure that all changes are authorised and change impacts are managed

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : PM-10-TC01	All project changes are approved by the appropriate delegated authority after the impact in terms of time, cost and quality has been fully assessed. Scope changes are approved prior to the work commencing
Primary : PM-10-TC02	Contingency funding is only used for unknown events and not to fund scope changes as all scope changes need to be approved
Primary: PM-10-TC03	The relevant documentation (e.g. purchase order / contract amendments, schedule, budget) is updated subsequent to every scope change
"
PM-11: Project Stakeholder and Communication Management,story,"*Narrative*

Product Owner: All key awareness messages and activities to all relevant and impacted stakeholder groups have been listed and are being executed to prevent stakeholder dissatisfaction and project delays

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-11-TC01	All key awareness messages and activities to all relevant stakeholder groups have been listed and are being executed
"
AS-20: Adhoc Secure Coding Practices,story,"*Narrative*

Technology Product Owner: Additional secure coding practices

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-20-TC01	Utilize task specific built-in services and APIs to conduct operating system tasks. Do not allow the application to issue commands directly to the Operating System, especially through the use of application initiated command shells
Primary: AS-20-TC02	Utilize locking to prevent multiple simultaneous requests or use a synchronization mechanism to prevent race conditions
Primary: AS-20-TC03	Explicitly initialize all your variables and other data stores, either during declaration or just before the first usage
Primary: AS-20-TC04	In cases where the application must run with elevated privileges, raise privileges; within the runtime environment; should do so as late as possible, and drop them as soon as possible
Primary: AS-20-TC05	All third party dependencies (e.g. source code, applications and libraries) must be evaluated for security vulnerabilities before being deployed in production
Secondary: AS-20-TC06	Use tested and approved managed code rather than creating new unmanaged code for common tasks
Secondary: AS-20-TC07	Use checksums or hashes to verify the integrity of interpreted code, libraries, executables, and configuration files
Secondary: AS-20-TC08	Avoid calculation errors by understanding your programming language's underlying representation and how it interacts with numeric calculation. Pay close attention to byte size discrepancies, precision, signed/unsigned distinctions, truncation, conversion and casting between types, not-a-number"" calculations
Primary: AS-20-TC09	Debug code must not be promoted into production except during diagnostic efforts undertaken through normal change management channels.
"
PM-13: System Documentation,story,"*Narrative*

Product Owner: All relevant system documentation is maintained, to enable future changes to the system / product, and the documentation is handed over to the relevant person on completion of the project

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-13-TC01	System and procedural documentation (for applications and EUDAs) is updated / maintained subsequent to the project go-live and following any changes thereafter. Documentation should include (non exhaustive):
- Commentary in source code
- Documentation on source code dependencies
- Installation guidelines
- Operational manual
- Administration manual
- Epics and User Stories (or equivalent) delivered
"
CR-10: Change Management Process,story,"*Narrative*

Release management has been engaged and a release schedule has been logged on the Change Management System in the form of a change record.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: CR-10-TC01 A Change Number exists on the Change Management System for the release.
Primary: CR-10-TC02 All necessary artefacts are linked to the Change Record: GAP Compliance Report; Report of Completed Stories for release; Risk Dispensation in the event that stories are incomplete; Navigator- and Book of Work Numbers.
"
PM-14: Project Training,story,"*Narrative*

Product Owner: Adequate training has been provided on the solution / product prior to go-live to ensure that the solution is adequately utilised

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-14-TC01	All users of the solution/product have undergone appropriate training before using the solution/system
"
PM-15: Project Go-live Support,story,"*Narrative*

Product Owner: Adequate post go-live support is in place for the system / product to prevent delayed system downtime

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-15-TC01	Post go-live support processes and upgrade arrangements, for the software and hardware, are in place and users are made adequately aware of these processes
"
PM-16: Project Handover and Closure,story,"*Narrative*

Product Owner: A formal handover is conducted to all key Technology and Business stakeholders. A Project Closure Report is completed and lessons learnt are captured for use on future similar projects

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-16-TC01	Formal handover is conducted 
Primary: PM-16-TC02	A project Closure Report is completed and adequately signed off by all key stakeholders
Secondary: PM-16-TC03	A list of Lessons learnt during the programme is created and distributed to all key stakeholders, to ensure that similar projects can draw on these lessons.
"
PM-17: Project Financial Capitalisation,story,"*Narrative*

Product Owner: The project costs are capitalised in line with the organisation's capitalisation policy (if applicable) to prevent the depreciation expense from being understated

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-17-TC01	Project costs are capitalised in line with the organisation's capitalisation policy to prevent the assets and depreciation from being understated
"
PR-02: Problem Resolution,story,"*Narrative*

 Closure and Monitoring

*Acceptance Criteria*

Technology Product Owner: Problems are resolved promptly and monitored to minimise business impact and re-occurrence.

*Test Cases*

Secondary: PR-02-TC01	Details of what was done to fix the root cause are logged fully and clearly within the Problem Record
Primary: PR-02-TC02	Appropriate Run The Bank"" sign off is obtained and evidenced within the Problem Record for unresolved problems. Where root cause is unknown
Primary: PR-02-TC04	All severity 1, 2 and 3 high problems are closed by a member of the Problem Management Team, only where the required closure criteria was met.
"
RM-05: Technology Process Documentation,story,"*Narrative*

Technology Product Owner: Key technology processes are documented, with the documentation maintained and kept available to reduce operational errors and ensure service continuity through staff absence

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : RM-05-TC01	Key technology processes are documented, with the documentation maintained and kept available to reduce operational errors and ensure service continuity through staff absence
Primary : RM-05-TC01	Roles and responsibilities for key roles are defined, documented and made known to the relevant staff.
"
SD-01: Implement a Secure Design,story,"*Narrative*

Technology Product Owner: Systems and applications implement a secure design and architecture, which is maintained through the system and/or application's lifecycle

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: SD-01-TC01	System and/or application has a defined design and architecture document that covers at least the following areas (as applicable):
- Application components
- Infrastructure components
- User community
- Infrastructure build standards required
- Network zone placement
- Integration to monitoring and management systems
- Differences between various environments (DR, Test, Production, etc)
- Where data flows between different network trust levels, applicable source and destination requriements (ports, IP addresses etc.)
- Data classification of information stored
- Data classification of information processed
- Data models
- Data flows
- Authentication and authorisation mechanisms
- Communication protocols used
- Details of cryptographic design
- Regulatory requirements considered
Secondary: SD-01-TC02	The design and architecture is traceable to business requirement specifications
Secondary: SD-01-TC03	The design and architecture must enable the implementation of all applicable controls for the system and/or application
Primary: SD-01-TC04	The design and architecture must be up to date with the application environment as deployed in various environments
Secondary: SD-01-TC05	The design and architecture enables for switching off components that could come under sustained cyber attack
Primary: SD-01-TC06	The design and architecture is approved by the applicable architecture governance bodies. At minimum, the design and architecture is reviewed and approved by the lead architect for the cluster.
Primary: SD-01-TC07	The design and architecture ensures that administration and configuration of the system and/or application cannot be easily exploited by unauthorised parties
"
CO-01: Changes Reflected on CMDB,story,"*Narrative*

Technology Product Owner: The Configuration Management Database (including changes to CI dependencies) is changed within one working day of an approved change taking place or as soon as possible after the event where tool constraints dictate 

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CO-01-TC01	Updates made to the CMDB (including changes to CI dependencies) are made within one working day of an approved change taking place or as soon as possible after the event where tool constraints dictate 
"
CO-03: Creation of Configuration Item Records - Platforms,story,"*Narrative*

Technology Product Owner: A CI record is created manually (by Platform Owners) when a new asset record is created within the approved CMDB toolset. All CI records captured in the CMDB contain the agreed Mandatory Attributes and are correctly mapped 

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CO-03-TC01	A CI record is created manually (by Platform Owners) when a new asset record is created, within the approved CMDB toolset, for all in-scope CIs, as defined in the current CMDB data model
Primary : CO-03-TC02	All CI records captured in the CMDB contains the agreed Mandatory Attributes (including ownership) for the relevant Lifecycle phase as defined in the IT Asset and Configuration Management (ITACM) Scoping Model
Primary : CO-03-TC03	Each CI is appropriately and correctly mapped (with appropriate relationships) to all upstream and downstream dependencies within the CMDB in line with the CMDB Data Model rules.
"
VM-04: Vulnerability Patch Management,story,"*Narrative*

Technology Product Owner: Patches are tested in the test environment before being implemented in production

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: VM-04-TC01	Software, firmware and operating systems on Technology assets are kept appropriately updated (patched) with regard to supplier security vulnerability notifications.
Primary: VM-04-TC02	Patches are tested in the test environment before being implemented in production
"
CR-03: Prevent Unauthorised Changes Being Grouped With Authorised Changes,story,"*Narrative*

Technology Product Owner: The elements that make up a change in Production match all and only those elements that were approved for implementation following their collective testing; to prevent unauthorised changes from being migrated to Production together with authorised changes

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CR-03-TC01	All changes implemented match the agreed and authorised scope only and additional unauthorised changes are not migrated together with approved changes. The change coordinator is responsible for ensuring that additional scope items are not added to the change subsequent to approval
"
CR-04: Change Testing,story,"*Narrative*

Technology Product Owner: Evidence of pre-implementation testing is documented or attached to the Change Record in Change Management System prior to implementation of the change (only applicable where changes need to be tested i.e. application changes)

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CR-04-TC01	Where required (i.e. application changes), evidence of pre-implementation testing is documented or attached to the Change Record in Change Management System prior to implementation of the change
"
CR-05: Projects Change Testing,story,"*Narrative*

Technology Product Owner: The Test Strategy/Test Plan (or equivalent) document defines the Testing plans for the change and is approved prior to test execution. The test plan documents the steps necessary to prove the success of the desired change. Adequate evidence of testing and the sign-off thereof is validated and retained prior to implementation of a project/change into production

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CR-05-TC01	A signed off Test Strategy or Test Plan document (or equivalent) by Product Owner (or designate)
"
CR-06: Test Environment,story,"*Narrative*

Technology Product Owner: Testing is performed in a test environment which emulates the Production environment as closely as possible and is segregated from both Production and Development 

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CR-06-TC01	Functional Testing is performed in a suitable Test environment identified and supported by relevant Environment teams
Primary : CR-06-TC02	Non-functional Testing (like Performance, DR Testing etc.) is performed in an environment that closely resembles the Production environment.  Any difference in configuration between the Production and Test environments must be captured (and authorised) in the Test Strategy/Test Plan (or equivalent) document, along with the associated risks
"
